Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,source,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_Identifier_0,Outlet_Identifier_1,Outlet_Identifier_2,Outlet_Identifier_3,Outlet_Identifier_4,Outlet_Identifier_5,Outlet_Identifier_6,Outlet_Identifier_7,Outlet_Identifier_8,Outlet_Identifier_9
FDP33,256.6672,3068.0064,Snack Foods,0.0,18.7,2009,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO23,93.1436,2174.5028,Breads,0.0,17.85,2002,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH01,174.8738,2085.2856,Soft Drinks,0.097904029,17.5,1997,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NCX29,146.7102,3791.0652,Health and Hygiene,0.08929113699999999,10.0,1999,train,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDV20,128.0678,2797.6916,Fruits and Vegetables,0.059511812000000004,20.2,1985,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
DRZ11,122.5388,1609.9044,Soft Drinks,0.113123893,8.85,2009,train,4,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDX10,36.9874,388.1614,Snack Foods,0.12311145300000001,6.384999999999999,1985,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB34,87.6198,2180.495,Snack Foods,0.026480953999999998,15.25,1985,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU02,230.6352,3435.528,Dairy,0.102511504,13.35,1997,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK43,126.00200000000001,2150.534,Meat,0.02681843,9.8,1987,train,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA46,192.9136,2527.3768,Snack Foods,0.117818348,13.6,1999,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC02,259.9278,6768.5228,Canned,0.06910283099999999,21.35,2009,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDL50,126.5046,373.5138,Canned,0.042277867000000004,12.15,1987,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM39,178.1002,358.2004,Dairy,0.08949892599999999,6.42,1998,train,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCP05,153.3024,2428.8384,Health and Hygiene,0.0,19.6,2002,train,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDV49,265.2226,5815.0972,Canned,0.025879577,10.0,2002,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,60.622,2576.646,Baking Goods,0.121632721,15.85,1997,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS02,196.8794,780.3176,Dairy,0.25539489600000004,10.195000000000002,1985,train,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCL17,143.8812,3134.5864,Health and Hygiene,0.067779712,7.39,1997,train,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDM40,141.5154,850.8924,Frozen Foods,0.159803853,10.195,1987,train,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR13,117.0492,810.9444,Canned,0.028696932,9.895,1987,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA43,196.3794,3121.2704,Fruits and Vegetables,0.065041581,10.895,2007,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,151.4708,4815.0656,Household,0.028760012999999997,12.15,2007,train,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDK21,249.0408,6258.52,Snack Foods,0.010053105,7.905,2009,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCX54,106.1622,2117.244,Household,0.048157338,9.195,2002,train,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DRK35,38.0506,796.9626,Hard Drinks,0.071958197,8.365,1999,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDY21,194.511,4910.275,Snack Foods,0.17348130399999998,15.1,1997,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI26,180.0344,892.172,Canned,0.061082177,5.94,1985,train,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDM20,246.9144,3185.1872,Fruits and Vegetables,0.0,10.0,2009,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDV27,87.3514,1062.6168,Meat,0.040071131,7.97,2002,train,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF09,38.2848,484.7024,Fruits and Vegetables,0.012090074,6.215,1985,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDY40,51.0692,147.8076,Frozen Foods,0.15028599,15.5,1985,train,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDY45,255.8356,2543.356,Snack Foods,0.026015518999999997,17.5,1985,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDC46,185.4266,184.4266,Snack Foods,0.195068226,17.7,1998,train,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDH19,172.5738,4865.6664,Meat,0.033082215,19.35,2004,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ03,186.024,1118.5439999999999,Dairy,0.078946455,13.65,2002,train,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH37,164.8526,2302.3364,Soft Drinks,0.041700756,17.6,2002,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NCI17,95.84100000000001,2027.361,Health and Hygiene,0.14342264300000002,8.645,1997,train,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDJ58,170.1764,3435.528,Snack Foods,0.10529607199999999,15.6,1997,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDL12,59.222,599.22,Baking Goods,0.121531501,15.85,1987,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDH35,164.7526,4604.6728,Starchy Foods,0.0,18.25,2002,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDG02,189.6188,2285.0256,Canned,0.011324862,7.855,2007,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,254.3698,5580.7356,Household,0.186357148,7.825,1999,train,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDC29,114.0176,2290.3520000000008,Frozen Foods,0.024205661,8.39,1997,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ10,172.3422,1207.0954,Snack Foods,0.033230816,12.85,1999,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDN48,89.9804,643.1628,Baking Goods,0.113720344,13.349999999999998,1985,train,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDL04,104.9622,1587.933,Frozen Foods,0.11255650699999999,19.0,2007,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,222.5456,5305.0944,Canned,0.0,5.905,2002,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD58,101.87,1697.79,Snack Foods,0.059352240999999986,7.76,1997,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN04,180.3344,1427.4752,Frozen Foods,0.014087057,11.8,1997,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV45,187.9556,4693.89,Snack Foods,0.045230944,16.75,2009,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCL18,194.6136,583.2408,Household,0.293417759,18.85,1985,train,28,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDR12,171.3764,3091.9752,Baking Goods,0.031382044,12.599999999999998,1985,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDG20,177.0028,2479.4392,Fruits and Vegetables,0.12639886,15.5,2007,train,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ55,160.99200000000005,2716.4640000000004,Fruits and Vegetables,0.025403897999999998,6.055,2004,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDQ49,155.963,3285.723,Breakfast,0.039057677,20.2,1985,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN33,95.6436,661.8052,Snack Foods,0.123115764,6.305,1997,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN27,117.2808,1523.3504,Meat,0.039624006,20.85,1999,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDW20,122.17299999999999,369.519,Fruits and Vegetables,0.040421193,20.75,1998,train,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRG27,39.9138,690.4346,Dairy,0.10527411099999999,8.895,1999,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRI25,55.1614,1381.535,Soft Drinks,0.033970195,19.6,2002,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDA44,57.893,622.523,Fruits and Vegetables,0.053212652,19.7,2004,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCR17,114.5492,1274.3412,Health and Hygiene,0.024378706,9.8,2004,train,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDU04,120.0414,487.3656,Frozen Foods,0.009714595,7.93,1985,train,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDF41,246.046,1231.73,Frozen Foods,0.131383762,12.15,1999,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDB56,187.4556,3755.112,Fruits and Vegetables,0.07461309,8.75,2004,train,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCP18,149.9708,4363.6532,Household,0.028459761,12.150000000000002,1985,train,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDB56,187.8556,1314.2892,Fruits and Vegetables,0.07462720099999999,8.75,1997,train,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDT28,151.0708,1805.6496,Frozen Foods,0.063695084,13.3,2002,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD10,178.5344,2854.9504,Snack Foods,0.045797829000000005,20.6,1985,train,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDW57,179.1028,3896.2616,Snack Foods,0.11585722300000001,8.31,1999,train,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRB48,38.7822,667.7974,Soft Drinks,0.024832806000000002,16.75,1987,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDP09,212.0902,3185.853,Snack Foods,0.034027909,19.75,2009,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDH14,141.1838,2247.7408,Canned,0.046769599999999995,17.1,1987,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA47,163.121,1794.3310000000001,Baking Goods,0.11657670199999999,10.5,1987,train,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDG12,121.3098,2530.7058,Baking Goods,0.0,6.635,2002,train,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRE60,225.372,679.1160000000001,Soft Drinks,0.278974075,9.394999999999998,1985,train,28,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,41.4138,812.2760000000003,Soft Drinks,0.035913805,14.15,1987,train,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDD03,232.53,699.09,Dairy,0.079806266,13.3,1997,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS52,102.4016,2732.4432,Frozen Foods,0.005505481,8.89,2007,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW39,176.937,176.437,Meat,0.064625342,6.69,1985,train,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDX34,121.7098,4097.3332,Snack Foods,0.071636937,6.195,1985,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV11,173.2054,3151.8972,Breads,0.0,9.1,2002,train,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD17,239.0906,5942.265,Frozen Foods,0.032677677999999995,7.5,1999,train,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDZ16,192.4478,4843.695,Frozen Foods,0.160760054,16.85,2007,train,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ46,109.0228,2542.0244,Snack Foods,0.06911065,7.485,2004,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRA12,140.3154,2552.6772,Soft Drinks,0.041177505,11.6,2007,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDY58,227.0694,1141.847,Snack Foods,0.040081193,11.65,2009,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCF19,47.5034,680.4476,Household,0.035307322,13.0,2007,train,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
DRJ13,159.0578,2085.9514,Soft Drinks,0.063017847,12.65,2002,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDB14,92.512,186.424,Canned,0.171938781,20.25,1998,train,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDJ38,190.153,3036.048,Canned,0.040197932,8.6,2004,train,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDW11,62.7194,866.8716,Breads,0.049058014000000004,12.6,2007,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL40,95.041,868.8689999999997,Frozen Foods,0.01161096,17.7,2004,train,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRI49,82.4276,1137.1864,Soft Drinks,0.183507295,14.15,1997,train,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDV38,52.7956,928.1252,Dairy,0.102349519,19.25,2007,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRG23,151.7682,762.341,Hard Drinks,0.08670898699999999,8.88,1987,train,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NCP30,40.2822,707.0796,Household,0.032835147,20.5,2002,train,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDY25,180.5976,7968.2944,Canned,0.033809913,12.0,1985,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCH54,160.292,1438.128,Household,0.07266912,13.5,1997,train,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NCR53,224.4404,6976.2524,Health and Hygiene,0.144338493,12.150000000000002,1985,train,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDS52,101.7016,101.2016,Frozen Foods,0.009163216,8.89,1998,train,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDG02,188.5188,952.0939999999999,Canned,0.011307038,7.855,2009,train,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO26,116.0492,1969.4364,Household,0.076855628,7.235,1997,train,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDH35,165.4526,5262.4832,Starchy Foods,0.059956876,18.25,1985,train,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB51,60.5852,1314.2892,Dairy,0.038532062,6.92,2002,train,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX44,90.8172,535.3032,Fruits and Vegetables,0.043209581,9.3,2007,train,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCN07,132.1284,263.6568,Others,0.056816465,18.5,1998,train,15,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NCC31,154.5972,1402.1748,Household,0.019866705,8.02,2004,train,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NCX54,105.1622,1693.7952,Household,0.048331717,9.195,2007,train,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
NCO55,105.5938,2143.876,Others,0.091221855,12.8,2002,train,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NCC30,177.6344,2676.5159999999996,Household,0.027622076000000002,16.6,1999,train,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
